k,Bank sse (left)
2,146750.15460682486
3,137253.51865334495
4,128827.72805494748
5,123047.44744489255
6,118736.65264357894
7,110486.18520705999
8,105071.21764942695
9,101034.21943309234
10,96996.4892339504
15,80038.796240964
20,67731.35415232819
25,58577.7479410658
30,53100.62193904255
35,47688.694514456685
40,45083.62272346887
