k,Wine sse (left)
2,16132.949313642423
3,14584.479158217482
4,13437.162220271193
5,12575.00681150852
6,11757.310129166442
7,11082.054739935604
8,10546.213560867294
9,10034.145015725637
10,9651.868668266747
15,8307.043593354523
20,7369.292609692723
25,6750.848935804716
30,6367.43464254084
35,6009.397435600784
40,5708.914882023111
