k,Bank log-likelihood
2,-19.110840555024946
3,-18.35276549184788
4,-17.66118751154916
5,-17.208087515699884
6,-18.89440898969959
7,-17.782067278537077
8,-17.132618487847832
9,-17.306125012773805
10,-15.974868439338692
15,-10.722872278137412
20,-10.219409000097533
25,-5.890936899625999
30,-5.914087715954349
35,-4.565752015786988
40,-3.3335768401701467
