k,Wine log-likelihood
2,9.42840367160515
3,9.753770032883086
4,10.097190796395298
5,10.451671636972728
6,10.579472771333482
7,10.69962338991359
8,10.79011159165706
9,10.950196048654698
10,10.990540983820226
15,11.267526433212911
20,11.571067797684094
25,11.834607738325161
30,15.774612795874445
35,12.291065120429908
40,12.643198461599743
