k,Wine BIC
2,-43377.389880542825
3,-44004.56081041359
4,-44718.35676220442
5,-45485.218963754174
6,-45164.4719348763
7,-44807.0177312829
8,-44307.24325170731
9,-44141.391604841214
10,-43401.029732224655
15,-40060.321560706936
20,-36847.02866973585
25,-33441.80894722788
30,-47676.268855645525
35,-26292.522751158816
40,-23312.374164387875
