k,Bank BIC
2,86016.96463415209
3,83361.14086071147
4,80999.76617025617
5,79694.37199494302
6,87862.33608812116
7,83637.819597401
8,81462.99295853646
9,82932.21245721611
10,77738.34095635287
15,57987.16498609081
20,59262.49262246743
25,43600.68119311668
30,47207.856039355815
35,44742.08859055195
40,42790.67994445778
