,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_filter__n,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.37152915000915526,0.0123053656134992,0.003124904632568359,0.0062498092651367175,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 2}",0.9934782608695653,0.9978260869565216,0.9978260869565216,0.9912663755458516,0.9956331877729259,0.9952070242515263,0.002546131504940448,134,0.9972766884531591,1.0,0.9983660130718952,0.988030467899891,0.9923830250272035,0.9952112388904297,0.004398026390813495
1,0.3759729862213135,0.018761082752822025,0.009373044967651368,0.007653059170949847,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 3}",0.9978260869565216,0.9978260869565216,0.9956521739130436,0.9978165938864629,0.9978165938864629,0.9973872567774649,0.0008678681469785564,81,0.9978213507625274,0.9978213507625271,0.9945533769063181,0.9956474428726875,0.9989118607181718,0.9969510764044462,0.0016004907566161684
2,0.4116817474365234,0.014814820216826032,0.0062484264373779295,0.007652728236788775,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 4}",1.0,1.0,0.9934782608695653,0.9890829694323146,0.9912663755458516,0.9947681996110168,0.004494127686525305,136,0.9978213507625273,0.9978213507625273,0.9994553376906319,0.9858541893362349,0.988574537540805,0.9939053532185452,0.005562575605224778
3,0.3978759288787842,0.00623675935381006,0.006249475479125977,0.0076540131254964686,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 5}",0.9967295957284515,0.9945556826849733,0.9869565217391304,1.0,1.0,0.9956458211507156,0.004812419074523152,116,0.9929122233688799,0.9931863461758972,0.9956355349157205,0.999455930359086,0.999455930359086,0.9961291930357339,0.002877057602987206
4,0.4303913116455078,0.013887759127910342,0.0031250476837158202,0.006250095367431641,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 6}",0.9978260869565216,0.9978260869565216,0.991304347826087,0.9956331877729259,0.9956331877729259,0.9956445861032532,0.0023821151678873917,117,0.996732026143791,1.0,0.997276688453159,0.9940152339499455,0.99537332006567,0.996679453722513,0.002009454298558648
5,0.42725315093994143,0.02172467083788639,0.0062544822692871095,0.007660151161530541,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 7}",1.0,0.9814931350114415,0.9869565217391304,1.0,0.9978165938864629,0.99324995080021,0.0076142331693984395,184,0.9989106753812638,0.990733574131407,0.988821881091618,0.9978237214363438,0.9978237214363438,0.9948227146953952,0.004182214245586212
6,0.4392269134521484,0.014252375557554904,0.006254434585571289,0.007660091589087359,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 8}",1.0,0.9978260869565216,1.0,1.0,0.9934402053167855,0.9982541529446242,0.002548803382634809,65,0.999455337690632,0.9994553376906319,0.9994553376906319,1.0,0.9885703615676842,0.997387274927916,0.00441350074828876
7,0.4473154067993164,0.011064167074516887,0.0031250476837158202,0.006250095367431641,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 9}",0.9956521739130435,0.9978260869565216,0.9934782608695653,1.0,1.0,0.9973897823550302,0.0025351525155095597,75,0.9967320261437909,0.997276688453159,0.9978213507625273,0.9972796517954297,0.9956474428726875,0.996951432005519,0.0007374015489160099
8,0.48760132789611815,0.021002563304414953,0.006248855590820312,0.007653253842865718,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 10}",0.9978260869565216,1.0,1.0,1.0,1.0,0.9995649637258383,0.0008697554086924639,5,0.9983660130718955,1.0,1.0,0.9961915125136016,1.0,0.9989115051170995,0.001500025644098511
9,0.4558204174041748,0.02118544970531456,0.0026021480560302736,0.003186967487116481,0.1,"(50, 50)",11,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 11}",1.0,0.9891304347826086,0.9978260869565216,1.0,0.9956331877729259,0.9965171842291417,0.004033543513110136,88,1.0,0.9945533769063181,0.9994553376906319,0.9989118607181718,0.9989118607181718,0.9983664872066587,0.0019487757243532426
10,0.45043282508850097,0.03529452275616421,0.009378576278686523,0.007657582597687606,0.1,"(50, 50)",12,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 12}",0.991304347826087,0.9945556826849733,0.9956521739130435,1.0,1.0,0.996300283615792,0.0033404035898197074,89,0.9912854030501091,0.9940087145969498,0.9994553376906319,0.9972796517954297,1.0,0.9964058214266241,0.0033149978605915347
11,0.44821963310241697,0.023276305460745023,0.006249618530273437,0.007654205248164351,0.1,"(50, 50)",13,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 13}",0.991304347826087,0.9945556826849733,0.9956521739130435,1.0,1.0,0.996300283615792,0.0033404035898197074,89,0.9912854030501091,0.9940087145969498,0.9994553376906319,0.9972796517954297,1.0,0.9964058214266241,0.0033149978605915347
