,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_filter__n,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.36089520454406737,0.01157044912440748,0.012497186660766602,0.006248593332884974,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 2}",1.0,0.9913043478260867,1.0,0.9913043478260869,0.9956331877729256,0.9956511297953504,0.0038894374822733987,108,0.9956331877729256,0.9934782608695643,0.9934782608695643,0.997816593886463,0.9967284623773176,0.995426953155167,0.001734453518864631
1,0.37596993446350097,0.04384198650211683,0.01562190055847168,3.371747880871523e-07,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 3}",1.0,0.9785407725321881,1.0,0.9743589743589743,0.9539748953974891,0.9813916923827308,0.017329522095809756,252,0.9989047097480832,0.9902491874322848,0.9989071038251364,0.9817400644468335,0.9651531151003204,0.9869908361105317,0.012641292154030488
2,0.2869247913360596,0.026087325093448514,0.006248664855957031,0.007653020236863752,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 4}",0.9829059829059823,0.9344262295081951,0.9579831932773099,0.9743589743589745,0.966101694915254,0.9631569850717223,0.01659664178898779,296,0.97644539614561,0.9520833333333285,0.9471502590673521,0.9817400644468329,0.9817400644468338,0.9678318234879916,0.015078554414154312
3,0.2793769359588623,0.005744831531047564,0.004425477981567383,0.006138999022265218,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 5}",0.9829059829059823,0.9785407725321881,0.9913043478260867,0.9743589743589745,0.966101694915254,0.9786490193838474,0.008414194173441,266,0.9691817215727947,0.9764957264957242,0.976495726495724,0.9775401069518739,0.9817400644468339,0.9762906691925902,0.004046683496579172
4,0.2681778907775879,0.0026072170707967897,0.0,0.0,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 6}",1.0,0.9827586206896546,1.0,0.9827586206896551,0.9620253164556958,0.985521382797855,0.014045285103902058,217,1.0,0.9806866952789682,1.0,0.9806866952789717,0.9859762675296678,0.9894699316175215,0.008812046870004833
5,0.27495923042297366,0.007779442847579622,0.01380314826965332,0.0036487217808870067,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 7}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,0.987012987012987,1.0,0.9956427015250537,1.0,1.0,0.996531137707608,0.005049426270512777
6,0.28561086654663087,0.008092256231061412,0.004426097869873047,0.0061403420491706155,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 8}",0.9913793103448273,1.0,1.0,1.0,1.0,0.998272592528009,0.003450725597576613,41,0.9967213114754099,1.0,1.0,1.0,1.0,0.999344262295082,0.001311475409836049
7,0.29759654998779295,0.011714665961367894,0.0031241416931152345,0.006248283386230469,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 9}",1.0,0.9956331877729256,1.0,0.991304347826087,1.0,0.9973894297365199,0.003479036181174669,70,0.993464052287582,0.9956427015250542,0.9989071038251364,0.9870410367170638,1.0,0.9950109788709671,0.0046126381775958274
8,0.3114021778106689,0.009019717440903895,0.006248569488525391,0.007652903436090976,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 10}",1.0,0.9827586206896546,0.9956331877729255,1.0,0.9913043478260869,0.9939400640274653,0.006455057585272002,119,1.0,0.975453575240125,0.9978165938864626,0.9978165938864633,0.9989071038251368,0.9939987733676375,0.009307870965904231
9,0.3194572448730469,0.011691430648316205,0.0031250476837158202,0.006250095367431641,0.1,"(50, 50)",11,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 11}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,0.9978165938864633,1.0,0.9995633187772928,0.0008733624454146937
10,0.32209219932556155,0.008585060162283008,0.0031290531158447267,0.006258106231689453,0.1,"(50, 50)",12,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 12}",1.0,1.0,1.0,1.0,0.9956331877729258,0.9991277416790421,0.0017458962519708956,33,1.0,0.9989071038251364,0.994559303590859,0.9967284623773177,0.992399565689469,0.9965188870965564,0.002781166099253589
11,0.31894402503967284,0.021955638455652907,0.01249709129333496,0.006248545658266237,0.1,"(50, 50)",13,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 13}",1.0,0.9913043478260867,0.9827586206896547,0.9661016949152541,1.0,0.9880398641772771,0.012691851789126716,168,0.9934640522875817,0.9978165938864626,0.9913232104121464,0.9806866952789723,1.0,0.9926581103730326,0.006726954364084766
