,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_gmm__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.08257937431335449,0.02041351254170168,0.0023935317993164064,0.001017897630624142,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 2}",0.5,0.5000000000000001,0.5000000000000001,0.9656250000000001,0.5000000000000001,0.5929697269695707,0.1861334440325269,217,0.5000000000000001,0.5,0.49999999999999994,0.9510108864696734,0.5000000000000001,0.5902021772939346,0.18040435458786933
1,0.09534530639648438,0.028029484092469897,0.0019946575164794924,3.8146972656249997e-07,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 3}",1.0,0.5000000000000001,1.0,1.0,0.5000000000000001,0.8001250521050438,0.24492341486976418,157,1.0,0.5,1.0,1.0,0.5000000000000001,0.8,0.24494897427831777
2,0.11409525871276856,0.025463364909388053,0.0015952110290527344,0.0004878996171645309,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 4}",1.0,1.0,1.0,0.5000000000000001,1.0,0.9001667361400584,0.19987483922955904,98,1.0,1.0,1.0,0.5000000000000001,1.0,0.9,0.19999999999999996
3,0.10113010406494141,0.013448907726767219,0.0017948150634765625,0.00039875582550958684,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 5}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
4,0.09215364456176758,0.007124804619425765,0.002593374252319336,0.0011970520114503596,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 6}",0.9937888198757764,0.9906832298136645,1.0,0.9906250000000001,0.996875,0.9943946947356428,0.0036306974869066643,33,0.9945482866043612,0.9953271028037383,1.0,0.9953343701399688,0.9937791601866252,0.9957977839469386,0.002178577441656432
5,0.07759227752685546,0.008234137168323295,0.001994800567626953,2.3360154559928684e-07,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 7}",0.9689440993788819,0.9347826086956521,0.9565217391304349,0.9656250000000001,0.9437500000000001,0.9539303141966503,0.012957522011086079,90,0.9501557632398753,0.9587227414330217,0.9602803738317757,0.9510108864696734,0.9564541213063763,0.9553247772561445,0.004067133525458209
6,0.09275155067443848,0.027123063223995426,0.0029929161071777345,0.001092492875832047,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 8}",0.5,0.9347826086956521,0.9565217391304349,0.9906250000000001,0.9437500000000001,0.8648985877267702,0.18371503025240438,149,0.5000000000000001,0.9587227414330217,0.9532710280373831,0.9953343701399688,0.9564541213063763,0.87275645218335,0.18700311133445785
7,0.09654202461242675,0.006863501505607412,0.001994419097900391,0.0006307511448679836,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 9}",0.9689440993788819,0.9906832298136645,1.0,0.9906250000000001,0.9437500000000001,0.9788060388127559,0.020269832362845075,72,0.9501557632398753,0.9953271028037383,0.9929906542056075,0.9953343701399688,0.9564541213063763,0.9780524023391133,0.020322112452406917
8,0.11888289451599121,0.02773451319800586,0.002991390228271484,0.0010927978489747628,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 10}",0.9689440993788819,0.9906832298136645,0.9565217391304349,0.9906250000000001,0.9437500000000001,0.9701067619401459,0.018565393676543814,77,0.9501557632398753,0.9953271028037383,0.9532710280373831,0.9953343701399688,0.9564541213063763,0.9701084771054683,0.02068998151525658
9,0.0979377269744873,0.011166320837323869,0.0031918048858642577,0.00039906506043264233,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 15}",0.9937888198757764,0.9347826086956521,0.9565217391304349,0.9656250000000001,0.9437500000000001,0.9589116858344185,0.02040643493289211,86,0.9945482866043612,0.9587227414330217,0.9532710280373831,0.9510108864696734,0.9564541213063763,0.9628014127701631,0.01609119268820382
10,0.14381556510925292,0.039524350094684975,0.0031913280487060546,0.00039906563019816605,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 20}",0.9689440993788819,0.5000000000000001,1.0,0.9656250000000001,0.9437500000000001,0.8756368223431605,0.18872124878307983,138,0.9501557632398753,0.5,1.0,0.9510108864696734,0.9564541213063763,0.871524154203185,0.18668176663394387
11,0.14840335845947267,0.03290503057607066,0.003789949417114258,0.0007464933364774546,0.1,"(50, 50)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 25}",0.9689440993788819,0.9906832298136645,0.5434782608695653,0.9906250000000001,0.9437500000000001,0.8874636316503514,0.17290289317312665,126,0.9501557632398753,0.9953271028037383,0.5397196261682242,0.9953343701399688,0.9564541213063763,0.8873981967316367,0.17486365408390617
