k,Wine BIC
2,-1462.35007433599
3,-6459.96843847
4,-12765.775909844497
5,-21671.65726011162
6,-22543.979669672874
7,-22520.631247884354
8,-22497.282826095834
9,-22473.934404307318
10,-22450.585982518798
15,-22333.843873576203
20,-22217.101764633608
25,-22100.359655691012
30,-21983.617546748417
35,-21866.875437805822
40,-21750.133328863223
