k,Bank sse (left)
2,12966.890169954417
3,9269.760536684687
4,6831.634821403076
5,4441.208271065049
6,2658.729526131843
7,2061.14282389202
8,1807.4510891381392
9,1611.0340764450475
10,1388.4438512006968
15,796.3658147650654
20,580.6226195109585
25,404.3738325410241
30,325.0142187032016
35,257.1445469180661
40,205.30935338068747
