k,Bank log-likelihood
2,-1.407700436454786
3,27.938734315726876
4,29.73621603568255
5,33.465012129889864
6,34.530822044499686
7,35.75652939322715
8,38.25856142607074
9,38.58547986947372
10,38.652372349885574
15,42.287158262756655
20,43.0020176791021
25,43.40047917795028
30,43.464692141807525
35,43.889447714882785
40,43.92803611606796
