k,Wine sse (left)
2,808.2421489390389
3,205.96060433164672
4,95.8038070592433
5,10.303837453577334
6,1.7930101847696278e-13
7,1.7930101847696278e-13
8,8.093525849517391e-14
9,8.093525849517391e-14
10,8.093525849517391e-14
15,0.0
20,0.0
25,0.0
30,0.0
35,0.0
40,0.0
