k,Bank BIC
2,6918.825026702697
3,-122680.57303086061
4,-130293.20706172724
5,-146457.70114178016
6,-150830.49241857536
7,-155911.30953364348
8,-166643.69234997782
9,-167744.67219226915
10,-167694.2570704357
15,-182056.01396714343
20,-183488.33633723567
25,-183519.64872864998
30,-182070.9086071244
35,-182218.65115921624
40,-180656.44547417873
