k,Wine log-likelihood
2,0.3128937287724445
3,1.3593645053298704
4,2.678488284646881
5,4.539519917005289
6,4.726195788482941
7,4.726195788482941
8,4.726195788482941
9,4.726195788482941
10,4.726195788482941
15,4.726195788482941
20,4.726195788482941
25,4.726195788482941
30,4.726195788482941
35,4.726195788482941
40,4.726195788482941
