,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_gmm__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.05964064598083496,0.002393782209321228,0.0023935794830322265,0.0004887333980000079,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 2}",0.6666666666666704,0.6666666666666698,0.6666666666666696,0.6666666666666701,0.6666666666666681,0.6666666666666695,8.12421408099095e-16,137,0.6666666666666451,0.666666666666645,0.666666666666645,0.6666666666666454,0.6666666666666662,0.6666666666666493,8.428194309863964e-15
1,0.0738025188446045,0.011833974119947993,0.0021941661834716797,0.00039923194986060136,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 3}",0.6666666666666704,0.6666666666666698,0.6666666666666696,0.6666666666666701,0.6666666666666681,0.6666666666666695,8.12421408099095e-16,137,0.6666666666666451,0.666666666666645,0.666666666666645,0.6666666666666454,0.6666666666666662,0.6666666666666493,8.428194309863964e-15
2,0.06562409400939942,0.005139990587766004,0.0019950389862060545,3.504023183989303e-07,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 4}",0.6666666666666704,0.6666666666666698,0.6666666666666696,0.6666666666666701,0.6666666666666681,0.6666666666666695,8.12421408099095e-16,137,0.6666666666666451,0.666666666666645,0.666666666666645,0.6666666666666454,0.6666666666666662,0.6666666666666493,8.428194309863964e-15
3,0.08377976417541504,0.01377538188739644,0.0023939132690429686,0.0004885582026693973,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 5}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
4,0.0895604133605957,0.008306382003461406,0.0025931358337402343,0.0004884998895598231,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 6}",0.9756097560975607,0.8421052631578966,1.0,0.8988764044943823,0.6666666666666681,0.8767464622347995,0.11892935463237551,35,0.9624060150375939,0.817369093231148,1.0,0.9315866084425035,0.6666666666666662,0.8756056766755822,0.12098687589270059
5,0.09474654197692871,0.015667684902257922,0.00359039306640625,0.0022390884351484977,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 7}",0.792079207920795,0.6666666666666698,0.8040201005025148,0.7766990291262162,0.8000000000000009,0.7678784990369355,0.051476149100542865,70,0.7950310559006057,0.666666666666645,0.7970112079700968,0.8040201005024977,0.7960199004975121,0.7717497863074716,0.05263654736545082
6,0.0951453685760498,0.011223281055890894,0.002592945098876953,0.0004887333980000079,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 8}",0.6666666666666704,0.6666666666666698,0.6666666666666696,0.6666666666666701,0.6666666666666681,0.6666666666666695,8.12421408099095e-16,137,0.6666666666666451,0.666666666666645,0.666666666666645,0.6666666666666454,0.6666666666666662,0.6666666666666493,8.428194309863964e-15
7,0.12227659225463867,0.01954235967779166,0.0023935794830322265,0.0004889281512006138,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 9}",0.792079207920795,0.7239819004524917,0.87912087912088,0.7339449541284435,0.8510638297872348,0.7960133007699973,0.061637074256276465,61,0.7950310559006057,0.7390300230946689,0.8815426997245116,0.732265446224237,0.8636977058029688,0.8023133861493985,0.06166011529350806
8,0.13304400444030762,0.017567020149196356,0.002792501449584961,0.0007465823808132277,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 10}",0.6666666666666704,0.6722689075630282,0.7048458149779765,0.6779661016949186,0.6666666666666681,0.6776878071980652,0.01421346002150854,121,0.6666666666666451,0.6758183738120166,0.6986899563318572,0.6729758149316298,0.6666666666666662,0.6761634956817629,0.011816102316537017
9,0.14740548133850098,0.019374437933965243,0.003590250015258789,0.0004885388464116528,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 15}",0.6666666666666704,0.7017543859649155,0.6666666666666696,0.6666666666666701,0.6666666666666681,0.6736873801486583,0.014037464376918359,129,0.6666666666666451,0.728100113765623,0.666666666666645,0.6701570680628061,0.6666666666666662,0.679651436365677,0.024262028372272364
10,0.19667367935180663,0.019517401011072178,0.0035905361175537108,0.0004884804518612656,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 20}",0.6666666666666704,0.6666666666666698,0.6666666666666696,0.6666666666666701,0.6666666666666681,0.6666666666666695,8.12421408099095e-16,137,0.6666666666666451,0.666666666666645,0.666666666666645,0.6666666666666454,0.6666666666666662,0.6666666666666493,8.428194309863964e-15
