k,Wine BIC
2,9543.539902333849
3,9565.94373190556
4,9565.951962041318
5,9580.215315205784
6,9572.456178351495
7,9598.896858644259
8,9620.98672942805
9,9604.818739190396
10,9633.031144225693
15,9725.023921592528
20,9832.78983560375
25,9944.715639019641
30,10025.354391866127
35,10116.111643113976
40,10208.568755169645
