,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_gmm__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.08836359977722168,0.006134417664017323,0.0019949913024902345,4.422005889652111e-07,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 2}",0.6666666666666704,0.6666666666666698,0.6666666666666696,0.6666666666666701,0.6666666666666681,0.6666666666666695,8.12421408099095e-16,100,0.6666666666666451,0.666666666666645,0.666666666666645,0.6666666666666454,0.6666666666666662,0.6666666666666493,8.428194309863964e-15
1,0.11449370384216309,0.029134414295374736,0.002194118499755859,0.00039877898667711303,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 3}",0.6666666666666704,0.6666666666666698,0.6666666666666696,0.6666666666666701,0.6666666666666681,0.6666666666666695,8.12421408099095e-16,100,0.6666666666666451,0.666666666666645,0.666666666666645,0.6666666666666454,0.6666666666666662,0.6666666666666493,8.428194309863964e-15
2,0.10890846252441407,0.025865178002444887,0.0023934364318847655,0.0004885582259392625,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 4}",0.6666666666666704,0.6666666666666698,0.6666666666666696,0.6666666666666701,0.6666666666666681,0.6666666666666695,8.12421408099095e-16,100,0.6666666666666451,0.666666666666645,0.666666666666645,0.6666666666666454,0.6666666666666662,0.6666666666666493,8.428194309863964e-15
3,0.18111510276794435,0.02783018899923649,0.003191518783569336,0.0009773207841378144,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 5}",0.8056814990169694,0.9655519235604725,0.6666666666666696,0.9180327868852448,0.6666666666666681,0.8045821728961031,0.12394888364506561,5,0.8546018583754157,0.9738849320604133,0.666666666666645,0.9245907994732131,0.6666666666666662,0.8172821846484707,0.1286875175559154
4,0.24235157966613768,0.037861474307825965,0.0023937225341796875,0.0004890063050960731,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 6}",0.6666666666666704,0.9593399293780368,0.6666666666666696,0.6666666666666701,0.6666666666666681,0.7252277576247254,0.11708912923253664,47,0.6666666666666451,0.9783955043873945,0.666666666666645,0.6666666666666454,0.6666666666666662,0.7290124342107992,0.12469153508829764
5,0.2309821605682373,0.021682288145684403,0.0021942138671875,0.0003992081827600046,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 7}",0.6666666666666704,0.6666666666666698,0.6666666666666696,0.6666666666666701,0.6666666666666681,0.6666666666666695,8.12421408099095e-16,100,0.6666666666666451,0.666666666666645,0.666666666666645,0.6666666666666454,0.6666666666666662,0.6666666666666493,8.428194309863964e-15
6,0.27486491203308105,0.035449796120203485,0.002593231201171875,0.0004885776791587868,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 8}",0.6666666666666704,0.6666666666666698,0.6666666666666696,0.6666666666666701,0.6666666666666681,0.6666666666666695,8.12421408099095e-16,100,0.6666666666666451,0.666666666666645,0.666666666666645,0.6666666666666454,0.6666666666666662,0.6666666666666493,8.428194309863964e-15
7,0.3209415912628174,0.03133855574542861,0.002792215347290039,0.0003989221375437896,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 9}",0.6666666666666704,0.7181757143212425,0.6666666666666696,0.6666666666666701,0.753615204517285,0.6943314190790221,0.03570455807478024,77,0.6666666666666451,0.7367781581502542,0.666666666666645,0.6666666666666454,0.8057487518397735,0.7085053819979927,0.05569031720375427
8,0.37659249305725095,0.049056963891977216,0.002792692184448242,0.0003991605132985345,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 10}",0.6666666666666704,0.8535223202249336,0.6666666666666696,0.6666666666666701,0.751173708920189,0.7209255497752365,0.07394485953804725,61,0.6666666666666451,0.864914088639647,0.666666666666645,0.6666666666666454,0.7415990730011582,0.7213026323281482,0.07744864378308683
9,0.5172166347503662,0.0574160991446015,0.003789949417114258,0.0003992558237501951,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 15}",0.6666666666666704,0.6666666666666698,0.6666666666666696,0.6666666666666701,0.6666666666666681,0.6666666666666695,8.12421408099095e-16,100,0.6666666666666451,0.666666666666645,0.666666666666645,0.6666666666666454,0.6666666666666662,0.6666666666666493,8.428194309863964e-15
10,0.732041597366333,0.1555069540530722,0.00438838005065918,0.0004887723548481414,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 20}",0.6666666666666704,0.6666666666666698,0.6666666666666696,0.6666666666666701,0.6666666666666681,0.6666666666666695,8.12421408099095e-16,100,0.6666666666666451,0.666666666666645,0.666666666666645,0.6666666666666454,0.6666666666666662,0.6666666666666493,8.428194309863964e-15
