k,Wine sse (left)
2,2307.834431463486
3,1187.4514323511444
4,776.0296835678884
5,547.8607520787857
6,431.21485962765547
7,331.3732044477928
8,257.3433509234833
9,201.36104953352194
10,163.89563260079714
15,67.96190145102344
20,37.91460176254037
25,24.28043387012412
30,15.8234980956247
35,11.469389174180721
40,8.60337056166592
