,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.10033502578735351,0.006189912907480286,0.002393484115600586,0.0007978678373020159,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 2}",0.6666666666666704,0.6666666666666698,0.6666666666666696,0.6666666666666701,0.6666666666666681,0.6666666666666695,8.12421408099095e-16,240,0.6666666666666451,0.666666666666645,0.666666666666645,0.6666666666666454,0.6666666666666662,0.6666666666666493,8.428194309863964e-15
1,0.12865562438964845,0.005677169608993052,0.001994800567626953,0.00063112807713168,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 3}",0.6666666666666704,0.6666666666666698,0.6666666666666696,0.6666666666666701,0.6666666666666681,0.6666666666666695,8.12421408099095e-16,240,0.6666666666666451,0.666666666666645,0.666666666666645,0.6666666666666454,0.6666666666666662,0.6666666666666493,8.428194309863964e-15
2,0.1657562255859375,0.027272147573957795,0.0019946575164794924,2.3360154559928687e-07,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 4}",0.6666666666666704,0.6666666666666698,0.7620872849231302,0.7318016348192513,0.6841992730382738,0.7022924737106874,0.03824796335733483,201,0.6666666666666451,0.666666666666645,0.7939034372113106,0.7542570779357481,0.6941064437625644,0.7151200584485826,0.05074556417290196
3,0.1797189712524414,0.005794656620518048,0.0019949913024902345,0.0006308265024818222,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 5}",0.6666666666666704,0.6666666666666698,0.6666666666666696,0.6666666666666701,0.6666666666666681,0.6666666666666695,8.12421408099095e-16,240,0.6666666666666451,0.666666666666645,0.666666666666645,0.6666666666666454,0.6666666666666662,0.6666666666666493,8.428194309863964e-15
4,0.2485346794128418,0.09577163218261413,0.001795053482055664,0.0003989936167850989,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 6}",0.6666666666666704,0.921944605849312,0.6666666666666696,0.9248554913294792,0.6666666666666681,0.76940640306393,0.12578598592959347,142,0.6666666666666451,0.9158778381519557,0.666666666666645,0.9315866084425036,0.6666666666666662,0.769492889318883,0.1260338234117866
5,0.27985167503356934,0.06777329472427432,0.001994609832763672,1.5078914929239175e-07,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 7}",0.6666666666666704,0.9302325581395344,0.6666666666666696,0.9248554913294793,0.9742274996626636,0.8324657757146973,0.13650346214023348,96,0.6666666666666451,0.9580838323353293,0.666666666666645,0.9384164222873899,0.9809061543405095,0.8421479484593037,0.14390965807885467
6,0.26409344673156737,0.060865831302893206,0.001994895935058594,0.000631203638298117,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 8}",0.6666666666666704,0.9329220034564627,0.6666666666666696,0.6666666666666701,0.9356725146198834,0.7736457538361363,0.13109897465357787,137,0.6666666666666451,0.9599277402460725,0.666666666666645,0.6666666666666454,0.9312278274300331,0.7782311135352082,0.13693906384665214
7,0.3560475826263428,0.03514237597366819,0.001396322250366211,0.0004884997964692402,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 9}",0.9567070249913279,0.899845339082345,0.9302325581395344,0.9815950920245397,0.9756097560975611,0.9487858439487099,0.030326765272290147,39,0.9624770314201857,0.9258195860302724,0.9478335146163254,0.9524230696844007,0.967973910862112,0.9513054225226591,0.014597770311158189
8,0.37060842514038084,0.03727205420102687,0.0019947052001953124,2.86102294921875e-07,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 10}",0.9683189835325584,0.9063519959829273,0.9288600936557825,0.9302325581395342,0.9523809523809526,0.9372220730004818,0.02130282998303992,55,0.96033728108661,0.9325882892370015,0.9411869924152574,0.9096256253184359,0.9422336537600622,0.9371943683634735,0.016481392000923314
9,0.3959404468536377,0.02862169214602299,0.0021943092346191407,0.00039892222303928974,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 15}",0.9439913707160014,0.9453702645796267,0.948241801659423,0.919540229885057,0.9696969696969698,0.9453571386703832,0.015927097945219452,49,0.9425769823450021,0.9737803348838966,0.9474885610837107,0.8882078001685644,0.961717827015151,0.9427543010992651,0.029393861641136713
10,0.47572736740112304,0.02364318110642787,0.002593374252319336,0.0004885972991334477,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 20}",0.9728491544835947,0.9482418016594228,0.9370424597364566,0.9624779819867721,0.9523809523809526,0.9545994716382693,0.012239602673116919,31,0.9680603443302365,0.9783667035626274,0.9474603717874711,0.9538002980625931,0.9485234553354441,0.9592422346156744,0.012056728958135199
