k,Bank log-likelihood
2,-19.589820849111124
3,-18.431302762216585
4,-17.83135254054392
5,-17.505372223834456
6,-17.379447616352657
7,-16.76378266535905
8,-15.951191900259152
9,-15.8198661567073
10,-15.817363485986272
15,-14.996863825642864
20,-14.286945015573105
25,-13.8618691524833
30,-13.619882359937128
35,-13.20013077214888
40,-13.070288147590695
