k,Wine log-likelihood
2,-1.9809557869986767
3,-1.9807589149234768
4,-1.975894348092972
5,-1.9740008364997974
6,-1.9675173936813712
7,-1.9681618827401972
8,-1.9678995753194535
9,-1.9596635578067034
10,-1.960677310046549
15,-1.9555190500265909
20,-1.9536482299075044
25,-1.9526444146664241
30,-1.945119746868152
35,-1.9397039782781675
40,-1.9346424949753482
