k,Bank BIC
2,88137.88937636568
3,83708.9038939041
4,81753.25691864498
5,81010.74868256292
6,81154.08712694094
7,79128.85533024868
8,76231.63602869379
9,76351.05824255363
10,77040.90902290835
15,76912.39955844494
20,77273.54209899326
25,78895.9692087688
30,81329.11472291156
35,82975.1177237224
40,85904.83761371596
