k,Bank sse (left)
2,49353.84485156728
3,44854.73408726425
4,40431.06615269402
5,38497.08575047319
6,35382.631557709174
7,33514.155180592876
8,31536.08056690502
9,30202.53143470871
10,29294.57628036158
15,25574.26683097801
20,23186.348417347923
25,21616.313877132394
30,20252.648275270396
35,19370.971799424955
40,18450.636095288435
