,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_rp__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.11533865928649903,0.056401326153663986,0.0,0.0,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 2}",0.7534443073022599,0.7709188506472964,0.732501420259756,0.7851090655206533,0.7524409612830985,0.758874949195249,0.017883706115583247,82,0.751455389903241,0.7619646886574327,0.7555354138632332,0.7586247483602976,0.76729373705327,0.7589747955674949,0.005415488698750978
1,0.07264008522033691,0.014101523734012175,0.003123903274536133,0.006247806549072267,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 3}",0.6666666666666619,0.6666666666666636,0.6711018140667302,0.6705882352941158,0.6666666666666649,0.6683372986757634,0.0020533363725506095,301,0.6666666666666444,0.666666666666651,0.678976132576765,0.6728984182796763,0.6666666666666639,0.6703749101712801,0.004931578443269111
2,0.13720664978027344,0.05647118189471772,0.0,0.0,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 4}",0.7081095244333766,0.6903860711582098,0.7156832269743423,0.7229172799528983,0.7045328844535272,0.7083223160915068,0.010983090391389132,201,0.7029102622441351,0.707744994671953,0.7134126597292834,0.7006554940383833,0.723740392007997,0.7096927605383503,0.00827818652448074
3,0.21557402610778809,0.09528311922361664,0.003124380111694336,0.006248760223388672,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 5}",0.6666666666666619,0.6958717064324537,0.6992010989408198,0.7053770746384533,0.7309793137928867,0.6995970259028295,0.020578988373104304,223,0.6666666666666444,0.6994001515485034,0.7300125129788712,0.7153470998859812,0.7167367846792656,0.7056326431518531,0.021768058969573095
4,0.1309589385986328,0.011066121142614368,0.0,0.0,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 6}",0.764653376971135,0.7570632439464804,0.738156875342488,0.7526798197918275,0.7552120542962905,0.7535563340497178,0.008676447627113686,99,0.7532622832195236,0.7562404358723194,0.7657150164437397,0.7537227324153475,0.7597749505803785,0.7577430837062618,0.004608230519020652
5,0.17418313026428223,0.0798103634087331,0.0,0.0,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 7}",0.7160829034301698,0.721134219672308,0.6666666666666641,0.6725663716814141,0.6785714285714269,0.6910220011337207,0.02291131742125549,252,0.7249061449926046,0.7233875545345084,0.666666666666651,0.6803494854048487,0.6766052359431136,0.6943830175083454,0.024714813874206154
6,0.09841337203979492,0.022927430730972687,0.0031243324279785155,0.006248664855957031,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 8}",0.6939897713107352,0.7257518275191966,0.6962515849063309,0.6909090909090893,0.7197357151596707,0.7053240178608791,0.014445988906718001,213,0.6889066310850381,0.7112904987582004,0.7221420552296351,0.6886376718632448,0.72316498909933,0.7068283692070898,0.015319235597132809
7,0.1741783618927002,0.048487486675878655,0.003124237060546875,0.00624847412109375,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 9}",0.7919904158822477,0.7768418075672137,0.753383839367437,0.7368787738039935,0.7731725697061032,0.7664687760042225,0.01923974069733075,67,0.7820435788763365,0.7766945051944821,0.784753963160081,0.7422404878738198,0.7783466677881078,0.7728158405785654,0.015544492315335457
8,0.1866748332977295,0.052565444385479144,0.0,0.0,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 10}",0.794836770932928,0.7887981330221663,0.7831847550502945,0.814864288759414,0.8217063080225758,0.8006650752489133,0.014993979328968832,29,0.7910903631780588,0.790746248948558,0.8217038784189659,0.8146647113485763,0.8287283240848078,0.8093867051957935,0.015721902345081175
9,0.17601165771484376,0.06356207742108225,0.003124237060546875,0.00624847412109375,0.1,"(50, 50)",11,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 11}",0.8032959207893892,0.7702702702702664,0.7579797039020469,0.7898171272053485,0.7719652119243455,0.7786720245769639,0.015971136942839984,53,0.8005200800622572,0.7721211522372817,0.790866059155663,0.7756057547781203,0.7758353169572701,0.7829896726381185,0.010892056122741425
10,0.09528813362121583,0.032895811850264536,0.0031250953674316407,0.006250190734863282,0.1,"(50, 50)",12,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 12}",0.6964543501989318,0.6765578635014805,0.6823882891381029,0.6756930273083696,0.6800254821335479,0.6822310589804901,0.007516061878350945,276,0.7038972843994844,0.6696581568318617,0.6937043230008655,0.6838536611473295,0.6841495655094725,0.6870525981778026,0.01139487852997451
