k,Wine BIC
2,-152775.90160465968
3,-156616.6405774537
4,-158217.67181371403
5,-158678.84148539533
6,-158969.77627615465
7,-158416.49618899528
8,-158546.82321577944
9,-159380.04556616928
10,-159230.6844356921
15,-157112.10309479162
20,-155115.99164072447
25,-152889.37532231392
30,-151198.704859661
35,-148433.7166888632
40,-146175.1045883699
