k,Wine sse (left)
2,7.9751356618716756
3,7.4784512530455745
4,7.056970357442857
5,6.633172549271002
6,6.280190786227248
7,6.017983381880802
8,5.7253912332266275
9,5.516491222173032
10,5.299093540678209
15,4.7197980181576735
20,4.411391986570255
25,4.161941482320753
30,3.9691849150662617
35,3.792217621274678
40,3.6511003554729298
