k,Wine log-likelihood
2,32.13517918283319
3,33.0832772307099
4,33.56457500002602
5,33.808302622493656
6,34.016549861276005
7,34.048845687403364
8,34.22361902789994
9,34.544889934800366
10,34.6613706205947
15,34.95786832040537
20,35.279891215471004
25,35.55387224635502
30,35.93955520632566
35,36.10132868148078
40,36.36864114586152
