k,Bank sse (left)
2,3.657456476304586
3,3.1162037434339767
4,2.666376702985437
5,2.2961747401719235
6,2.0322266789628776
7,1.8319656408098797
8,1.7260098306544631
9,1.6337819254129697
10,1.54517549703011
15,1.216254407901563
20,1.038112298208227
25,0.9193891612097058
30,0.8310116123508811
35,0.7589048403148126
40,0.6992367656686274
