k,Bank log-likelihood
2,16.004269888849446
3,16.611246704552965
4,16.921488478466433
5,17.273474010761117
6,17.369024698230906
7,17.476020985545155
8,17.80210449565278
9,18.019319508619745
10,18.01011498512878
15,18.240703665994914
20,18.554138103332136
25,18.730593993770633
30,18.94848500330612
35,19.03466654173022
40,19.171414240701694
