k,Bank BIC
2,-70443.26648159558
3,-72915.28825035924
4,-74073.36725407655
5,-75416.2876199059
6,-75623.71449285059
7,-75881.82248190657
8,-77110.04869349163
9,-77856.20519973781
10,-77599.7759985483
15,-77542.46482156595
20,-77851.99465423755
25,-77554.98348124162
30,-77441.44701560716
35,-76744.70101189148
40,-76271.86196707956
