,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.12783288955688477,0.01768695854748698,0.0031244754791259766,0.006248950958251953,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 2}",0.9281118436730461,0.9199609216765531,0.9392908006855418,0.8883612620428292,0.9237481820070641,0.919905947466324,0.017040610569696475,316,0.9105178243905033,0.9299527557489544,0.9167720147902738,0.9535810792187305,0.9323630030478385,0.9286373354392602,0.014878869568659525
1,0.22676963806152345,0.023867277323042935,0.009373760223388672,0.007653643299586879,0.1,"(50, 50)",34,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 34}",1.0,0.9743589743589737,0.9743589743589737,0.9785407725321889,0.982758620689655,0.9820100120273914,0.009528349983750486,158,0.9945474372955289,0.9671957671957632,0.9628782646743556,0.9857352938117653,0.9978165938864633,0.9816346713727752,0.014182341065363212
2,0.2619105339050293,0.03150527663260109,0.0,0.0,0.1,"(50, 50)",66,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 66}",0.9861603152004761,1.0,0.9913043478260867,0.978540772532189,0.9903382454253692,0.9892708063717418,0.007001544638790441,108,0.9921419012883421,1.0,0.9967284623773167,0.9956427015250551,1.0,0.9969026130381428,0.0029485485860379973
3,0.16975598335266112,0.03227621363659433,0.003124237060546875,0.00624847412109375,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 7}",0.9716798074325147,0.9714625445897733,0.9756437367831812,0.9511944222196822,0.9110413800565745,0.956225126757234,0.02413719091309253,285,0.9701088132331398,0.9731843783726646,0.9777865860365094,0.9622062050152733,0.9324048611727203,0.9631381687660614,0.01618330678406041
4,0.21297101974487304,0.019318584884184163,0.0,0.0,0.1,"(50, 50)",39,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 39}",0.9654233552391669,0.9956331877729255,0.9870129870129867,1.0,0.9785407725321885,0.9853132756325718,0.01238563127829502,145,0.9549738219895284,0.9902491874322846,0.9967284623773169,0.9989071038251368,0.9956427015250551,0.9873002554298644,0.016412805498715714
5,0.23430776596069336,0.03666218637873874,0.003124427795410156,0.006248855590820312,0.1,"(50, 50)",71,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 71}",1.0,1.0,1.0,1.0,0.9956331877729256,0.9991277416790421,0.00174589625197094,1,1.0,0.993237133332948,1.0,1.0,1.0,0.9986474266665896,0.0027051466668207786
6,0.16167445182800294,0.009480768664171168,0.003124427795410156,0.006248855590820312,0.1,"(50, 50)",12,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 12}",0.9851943296022266,0.9817946032221053,0.9913043478260867,0.9579831932773109,0.9870129870129869,0.9806644838573909,0.01173986019437707,169,0.9859459459459459,0.9927545314990376,0.9900080727540619,0.9775401069518739,0.9932372495668171,0.9878971813435473,0.0057903773839139755
7,0.24056873321533204,0.01879918302183208,0.0,0.0,0.1,"(50, 50)",44,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 44}",0.9956709956709955,1.0,0.9913043478260867,1.0,1.0,0.9973928771900518,0.003476453211194267,19,0.9945474372955289,0.9978165938864626,0.9943181728730138,0.9978165938864633,1.0,0.9968997595882938,0.002167517981864222
8,0.2530658721923828,0.027512262938818755,0.0031242847442626955,0.00624856948852539,0.1,"(50, 50)",60,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 60}",1.0,1.0,0.9913043478260867,0.9913043478260869,0.9785407725321887,0.9922369684703991,0.007870832443824463,73,0.9978118161925603,1.0,0.994559303590859,0.9956427015250552,0.9913232104121485,0.9958674063441245,0.0029417818314850354
9,0.265562915802002,0.034724692925431934,0.006248378753662109,0.007652669839002173,0.1,"(50, 50)",76,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 76}",1.0,0.9956331877729255,0.9990356798457087,0.9956331877729258,0.9913043478260869,0.9963242464289417,0.0030663716815370412,40,1.0,0.9989071038251365,1.0,0.9986660822435108,1.0,0.9995146372137296,0.0005993118484773869
10,0.21557068824768066,0.02706391010795839,0.0031251907348632812,0.0062503814697265625,0.1,"(50, 50)",18,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 18}",0.9904150698710644,0.9913043478260867,0.9956331877729255,0.9817927404174509,0.9743589743589743,0.986707489908701,0.007629161756223653,126,0.9956331877729258,0.9964873269762662,0.9978165938864626,0.9943182891084464,0.9659326173392747,0.9900376030166751,0.012106170449778969
11,0.2699894905090332,0.017814272452715302,0.004430055618286133,0.006147419662801931,0.1,"(50, 50)",50,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 50}",1.0,1.0,0.9946688900679651,0.9956331877729256,0.9870129870129869,0.9954670638045887,0.004757864726455006,45,0.9964801760860695,0.992399565689467,0.994559303590859,0.997816593886463,0.997816593886463,0.9958144466278643,0.0020831312425540335
