,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.11402921676635742,0.026846570817637607,0.0,0.0,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 2}",0.6100877192982456,0.5905415713196033,0.581149885583524,0.6087968283153298,0.6546196276717996,0.6090259005908183,0.025288513603496886,209,0.6254998710010321,0.6347734634789588,0.5745596118564384,0.6149570829276673,0.621743337533169,0.6143066733594531,0.020879334644584965
1,0.14345641136169435,0.018361316230485605,0.0,0.0,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 3}",0.7689549961861176,0.8115083905415712,0.7734935163996949,0.8163736305830079,0.8119110549299012,0.7964379944929194,0.020717380570476,192,0.7992166895998165,0.8168949231739479,0.7776935701181056,0.8077999422522573,0.7968099741328293,0.7996830198553913,0.013070132366765791
2,0.14033079147338867,0.03777745921078223,0.0031241893768310545,0.006248378753662109,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 4}",0.8268401983218918,0.8637585812356979,0.8377669717772692,0.8753830537041294,0.8786533747031334,0.8564684535807143,0.020642970302047696,152,0.8554960726980853,0.8785671797958949,0.855691362802431,0.8527712950766468,0.8653558883607275,0.8615763597467572,0.009508996224205833
3,0.18667516708374024,0.06101636442442596,0.006248664855957031,0.007653020235378236,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 5}",0.8495232646834477,0.8854977116704806,0.8388253241800152,0.867736344135448,0.8852035930437449,0.8653507640414331,0.01876314243815188,141,0.8625014333218669,0.8937926413255359,0.8496714109620457,0.8701648196934119,0.8843983257927189,0.8721057262191158,0.01562522545348576
4,0.22364554405212403,0.07769232313700637,0.0,0.0,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 6}",0.8843630816170863,0.8953089244851259,0.8573321891685736,0.8491821803416839,0.91030797517812,0.8792986098269617,0.022942944471307215,131,0.903686145510836,0.9028530271757824,0.8785743464052288,0.8397428555065573,0.9001554655136208,0.8850023680224052,0.02444213113502427
5,0.19865493774414061,0.037470179180004254,0.0,0.0,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 7}",0.8930778032036613,0.9377860411899314,0.9575419527078566,0.9562552669884318,0.9267361909139662,0.9342752408035987,0.023629193762085537,107,0.9167472910216719,0.9585232484806787,0.9604206083018002,0.9675130171047857,0.91764503751217,0.9441698404842211,0.02222868895029395
6,0.26243839263916013,0.036081238941753725,0.0013010025024414063,0.0026020050048828126,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 8}",0.9781845919145691,0.9694317315026698,0.9727784134248664,0.977040718608749,0.9857839194055008,0.9766410929152407,0.00553164849286965,79,0.9732506306616215,0.9879815961472308,0.9781633413599359,0.9795451888017104,0.9811773977244524,0.9800236309389903,0.004779613059750814
7,0.2129814624786377,0.04492405168221751,0.0,0.0,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 9}",0.9836289092295957,0.969488939740656,0.9825705568268498,0.9956140350877194,0.9770311422661457,0.9816640002521032,0.008589316396249016,68,0.9931684296525629,0.9827983459465657,0.9849769951840386,0.9929062148025121,0.9759857682836034,0.9859671507738567,0.006490897559273683
8,0.17418308258056642,0.025504954400340816,0.006247758865356445,0.00765191071160903,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 10}",0.9967295957284515,1.0,1.0,1.0,0.9978165938864629,0.9989092384719792,0.0013795702851638711,5,0.9989106753812638,0.9994553376906319,1.0,0.9989118607181718,0.9989118607181718,0.9992379469016479,0.00043537448845921615
9,0.16975412368774415,0.014269552061005237,0.003124237060546875,0.00624847412109375,0.1,"(50, 50)",11,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 11}",0.9923627002288329,0.9956521739130436,1.0,1.0,0.9978165938864629,0.9971652772676646,0.0028935039074594587,18,0.9964507367274396,0.9978177674578602,0.9994553376906319,0.9989118607181718,0.9989118607181718,0.9983095126624552,0.0010710203245954553
10,0.15100526809692383,0.01853866618014867,0.0,0.0,0.1,"(50, 50)",12,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 12}",0.9978260869565216,0.9967295957284515,0.9695080091533181,0.9989035087719298,1.0,0.9925894387718319,0.011596150643132436,48,0.9994553376906319,0.9967284428391239,0.9784625472996215,0.9980936682702402,0.999455930359086,0.9944391852917407,0.008052060897053077
